,icao,iata,name,city,lat,lon
12026,KCDR,CDR,Chadron Municipal Airport,Chadron,42.83756,-103.0954
12027,KCDS,CDS,Childress Municipal Airport,Childress,34.43378,-100.288
12028,KCDW,CDW,Essex County Airport,Caldwell,40.87522,-74.28135
12029,KCEA,CEA,Cessna Acft Field,Wichita,37.6486,-97.2506
12030,KCEC,CEC,Jack Mc Namara Field,Crescent City,41.78017,-124.23653
12031,KCEF,CEF,Westover Arb/Metro Airport,Springfield/Chicopee,42.19402,-72.53479
12033,KCEU,CEU,Oconee County Regional Airport,Clemson,34.67222,-82.88589
12034,KCEV,CEV,Mettel Field,Connersville,39.69819,-85.13114
12035,KCEW,CEW,Bob Sikes Airport,Crestview,30.77883,-86.52211
12036,KCEY,CEY,Kyle-Oakley Field,Murray,36.66458,-88.37278
12037,KCEZ,CEZ,Cortez Municipal Airport,Cortez,37.303,-108.62804
12038,KCFD,CFD,Coulter Field,Bryan,30.71569,-96.33136
12042,KCFS,TZC,Tuscola Area Airport,Caro,43.45886,-83.44545
12043,KCFT,CFT,Greenlee County Airport,Clifton/Morenci,32.95704,-109.21116
12044,KCFV,CFV,Coffeyville Municipal Airport,Coffeyville,37.094,-95.572
12046,KCGE,CGE,Cambridge-Dorchester Regional Airport,Cambridge,38.53932,-76.0304
12047,KCGF,CGF,Cuyahoga County Airport,Cleveland,41.56458,-81.48722
12048,KCGI,CGI,Cape Girardeau Regional Airport,Cape Girardeau,37.2,-89.6
12049,KCGS,CGS,College Park Airport,College Park,39.0,-76.9
12050,KCGZ,CGZ,Casa Grande Municipal Airport,Casa Grande,33.0,-111.8
12051,KCHA,CHA,Lovell Field,Chattanooga,35.03519,-85.20356
12053,KCHK,CHK,Chickasha Municipal Airport,Chickasha,35.09714,-97.96768
12055,KCHO,CHO,Charlottesville-Albemarle Airport,Charlottesville,38.13964,-78.45234
12056,KCHP,CHP,Circle Hot Springs Airport,Circle Hot Springs,65.48591,-144.61168
12058,KCHS,CHS,Charleston Afb/International Airport,Charleston,32.89864,-80.04053
12061,KCIC,CIC,Chico Regional Airport,Chico,39.8,-121.9
12062,KCID,CID,The Eastern Iowa Airport,Cedar Rapids,41.9,-91.7
12064,KCIN,CIN,Arthur N Neu Airport,Carroll,42.04667,-94.78869
12065,KCIR,CIR,Cairo Regional Airport,Cairo,37.06414,-89.21953
12066,KCIU,CIU,Chippewa County International Airport,Sault Ste Marie,46.25075,-84.47238
12069,KCKA,CKA,Kegelman Af Aux Field,Cherokee,36.73569,-98.12361
12070,KCKB,CKB,North Central West Virginia Airport,Clarksburg,39.29765,-80.22753
12071,KCKC,GRM,Grand Marais/Cook County Airport,Grand Marais,47.83843,-90.38458
12074,KCKM,CKM,Fletcher Field,Clarksdale,34.29972,-90.51231
12075,KCKN,CKN,Crookston Municipal/Kirkwood Field,Crookston,47.84166,-96.62145
12077,KCKU,CKU,Cordova Municipal Airport,Cordova,60.54364,-145.72585
12078,KCKV,CKV,Outlaw Field,Clarksville,36.62186,-87.41494
12079,KCKX,CKX,Chicken Airport,Chicken,64.06675,-141.95135
12081,KCLE,CLE,Cleveland-Hopkins International Airport,Cleveland,41.40941,-81.85469
12082,KCLI,CLI,Clintonville Municipal Airport,Clintonville,44.61317,-88.73089
12083,KCLK,CLK,Clinton Regional Airport,Clinton,35.53827,-98.93279
12084,KCLL,CLL,Easterwood Field,College Station,30.58804,-96.36254
12085,KCLM,CLM,William R Fairchild International Airport,Port Angeles,48.12019,-123.49969
12086,KCLR,CLR,Cliff Hatfield Memorial Airport,Calipatria,33.13133,-115.52139
12087,KCLS,CLS,Chehalis-Centralia Airport,Chehalis,46.67703,-122.98275
12088,KCLT,CLT,Charlotte/Douglas International Airport,Charlotte,35.21375,-80.94906
12089,KCLW,CLW,Clearwater Air Park,Clearwater,27.97721,-82.75906
12092,KCMH,CMH,John Glenn Columbus International Airport,Columbus,39.99695,-82.89216
12093,KCMI,CMI,University Of Illinois/Willard Airport,Champaign/Urbana,40.03856,-88.27654
12095,KCMX,CMX,Houghton County Memorial Airport,Hancock,47.16842,-88.48907
12096,KCMY,CMY,Sparta/Fort Mc Coy Airport,Sparta,43.95872,-90.73784
12099,KCNH,CNH,Claremont Municipal Airport,Claremont,43.4,-72.4
12101,KCNK,CNK,Blosser Municipal Airport,Concordia,39.54995,-97.65214
12102,KCNM,CNM,Cavern City Air Trml Airport,Carlsbad,32.33744,-104.26336
12103,KCNO,CNO,Chino Airport,Chino,33.97478,-117.63648
12105,KCNU,CNU,Chanute Martin Johnson Airport,Chanute,37.66789,-95.48672
12106,KCNW,CNW,Tstc Waco Airport,Waco,31.63781,-97.07414
12107,KCNY,CNY,Canyonlands Regional Airport,Moab,38.75763,-109.75346
12109,KCOD,COD,Yellowstone Regional Airport,Cody,44.52019,-109.02381
12110,KCOE,COE,Coeur D'Alene/Pappy Boyington Field,Coeur D'Alene,47.77431,-116.81958
12111,KCOF,COF,Patrick Space Force Base Airport,Cocoa Beach,28.2,-80.6
12112,KCOI,COI,Merritt Island Airport,Merritt Island,28.34161,-80.68547
12113,KCOM,COM,Coleman Municipal Airport,Coleman,31.84114,-99.40361
12114,KCON,CON,Concord Municipal Airport,Concord,43.20272,-71.50228
12116,KCOS,COS,City Of Colorado Springs Municipal Airport,Colorado Springs,38.80582,-104.70078
12117,KCOT,COT,Cotulla-La Salle County Airport,Cotulla,28.45572,-99.21722
12118,KCOU,COU,Columbia Regional Airport,Columbia,38.81774,-92.21779
12122,KCPM,CPM,Compton/Woodley Airport,Compton,33.88992,-118.24381
12124,KCPR,CPR,Casper/Natrona County International Airport,Casper,42.90586,-106.46364
12125,KCPS,CPS,St Louis Downtown Airport,Cahokia/St Louis,38.57036,-90.15508
12132,KCQW,HCW,Cheraw Municipal/Lynch Bellinger Field,Cheraw,34.71286,-79.957
12134,KCRE,CRE,Grand Strand Airport,North Myrtle Beach,33.81175,-78.72394
12135,KCRG,CRG,Jacksonville Executive At Craig Airport,Jacksonville,30.3,-81.5
12136,KCRP,CRP,Corpus Christi International Airport,Corpus Christi,27.77219,-97.50242
12137,KCRQ,CLD,Mc Clellan-Palomar Airport,Carlsbad,33.12825,-117.28008
12138,KCRS,CRS,C David Campbell Field-Corsicana Municipal Airport,Corsicana,32.02806,-96.40058
12139,KCRT,CRT,Z M Jack Stell Field,Crossett,33.17833,-91.88019
12140,KCRW,CRW,West Virginia International Yeager Airport,Charleston,38.37601,-81.59289
12141,KCRX,CRX,Roscoe Turner Airport,Corinth,34.91497,-88.60348
12144,KCSG,CSG,Columbus Airport,Columbus,32.51633,-84.93886
12145,KCSM,CSM,Clinton/Sherman Airport,Burns Flat,35.33984,-99.2005
12146,KCSQ,CSQ,Creston Municipal Airport,Creston,41.02144,-94.36331
12148,KCSV,CSV,Crossville Memorial-Whitson Field,Crossville,36.0,-85.1
12149,KCTB,CTB,Cut Bank International Airport,Cut Bank,48.60835,-112.37615
12151,KCTK,CTK,Ingersoll Airport,Canton,40.56908,-90.07483
12152,KCTY,CTY,Cross City Airport,Cross City,29.63553,-83.10475
12153,KCTZ,CTZ,Clinton-Sampson County Airport,Clinton,34.97494,-78.36563
12154,KCUB,CUB,Jim Hamilton L B Owens Airport,Columbia,33.97047,-80.99525
12155,KCUH,CUH,Cushing Municipal Airport,Cushing,35.95003,-96.77342
12160,KCVG,CVG,Cincinnati/Northern Kentucky International Airport,Covington,39.04884,-84.66782
12161,KCVH,HLI,Hollister Municipal Airport,Hollister,36.89335,-121.41027
12162,KCVK,CKK,Sharp County Regional Airport,Ash Flat,36.26489,-91.56267
12163,KCVN,CVN,Clovis Regional Airport,Clovis,34.42659,-103.07758
12164,KCVO,CVO,Corvallis Municipal Airport,Corvallis,44.49688,-123.28946
12165,KCVS,CVS,Cannon Afb Airport,Clovis,34.4,-103.3
12168,KCWA,CWA,Central Wisconsin Airport,Mosinee,44.77762,-89.66678
12169,KCWC,KIP,Kickapoo Downtown Airport,Wichita Falls,33.86062,-98.4904
12170,KCWF,CWF,Chennault International Airport,Lake Charles,30.21058,-93.14319
12171,KCWI,CWI,Clinton Municipal Airport,Clinton,41.83075,-90.32897
12173,KCXC,CXC,Chitina Airport,Chitina,61.5832,-144.4298
12175,KCXL,CXL,Calexico International Airport,Calexico,32.66744,-115.51758
12176,KCXO,CXO,Conroe/North Houston Regional Airport,Houston,30.3534,-95.41508
12177,KCXP,CSN,Carson City Airport,Carson City,39.1923,-119.73257
12180,KCXY,HAR,Capital City Airport,Harrisburg,40.21714,-76.85136
12182,KCYS,CYS,Cheyenne Regional/Jerry Olson Field,Cheyenne,41.15564,-104.81047
12186,KCZK,CZK,Cascade Locks State Airport,Cascade Locks,45.67694,-121.87889
12188,KCZN,CZN,Chisana Airport,Chisana,62.07175,-142.04935
12189,KCZO,CZO,Chistochina Airport,Chistochina,62.56233,-144.67244
12190,KCZT,CZT,Dimmit County Airport,Carrizo Springs,28.52225,-99.82364
12224,KD60,VEX,Tioga Municipal Airport,Tioga,48.38028,-102.89736
12229,KD66,DJN,Delta Junction Airport,Delta Junction,64.05012,-145.72247
12243,KDAA,DAA,Davison Army Air Field,Fort Belvoir,38.71492,-77.18089
12244,KDAB,DAB,Daytona Beach International Airport,Daytona Beach,29.17991,-81.05804
12246,KDAG,DAG,Barstow-Daggett Airport,Daggett,34.85372,-116.78669
12247,KDAL,DAL,Dallas Love Field,Dallas,32.84594,-96.85088
12248,KDAN,DAN,Danville Regional Airport,Danville,36.57247,-79.33625
12250,KDAY,DAY,James M Cox Dayton International Airport,Dayton,39.90225,-84.21941
12251,KDBN,DBN,W H 'Bud' Barron Airport,Dublin,32.56472,-82.98497
12252,KDBQ,DBQ,Dubuque Regional Airport,Dubuque,42.402,-90.70947
12253,KDCA,DCA,Ronald Reagan Washington Ntl Airport,Washington,38.85144,-77.03772
12255,KDCU,DCU,Pryor Field Regional Airport,Decatur,34.65406,-86.94536
12257,KDDC,DDC,Dodge City Regional Airport,Dodge City,37.76311,-99.96542
