,icao,iata,name,city,lat,lon
226,07FA,OCA,Ocean Reef Club Airport,Key Largo,25.32432,-80.27573
306,0AA1,CYT,Yakataga Airport,Yakataga,60.08085,-142.49549
307,0AA4,FWL,Farewell Airport,Farewell,62.50918,-153.89063
341,0CO2,CSE,Crested Butte Airpark,Crested Butte,38.85194,-106.93282
451,0NM0,CUS,Columbus Municipal Airport,Columbus,31.82371,-107.62697
497,0TE7,JCY,Lbj Ranch Airport,Johnson City,30.25181,-98.62253
794,19AK,ICY,Icy Bay Airport,Icy Bay,59.96902,-141.66177
1314,2AK6,HGZ,Hog River Airport,Hogatza,66.17613,-155.68482
1416,2LA8,GWV,Fokker Field,Bush,30.59317,-89.87348
1832,38WA,BYW,Blakely Island Airport,Blakely Island,48.57899,-122.82629
1861,3AK5,DRF,Drift River Airport,Kenai,60.58887,-152.16198
1926,3IS8,BDF,Rinkenberger Airport,Bradford,41.23087,-89.61565
2010,3NY8,CTO,Calverton Executive Airpark,Calverton,40.9,-72.8
2888,5MS1,RFK,Rollang Field,Rolling Fork,32.95429,-90.84593
3108,65LA,BCS,Southern Seaplane Airport,Belle Chasse,29.86604,-90.02229
3611,78WA,CWS,Center Island Airport,Center Island,48.4901,-122.83212
3742,7NC2,DUF,Pine Island Airport,Corolla,36.2535,-75.78852
3821,7WA5,SSW,Stuart Island Airpark,Stuart Island,48.67288,-123.17575
3875,82CL,FOB,Fort Bragg Airport,Fort Bragg,39.47433,-123.79557
3914,84NE,MHN,Hooker County Airport,Mullen,42.04216,-101.05966
4017,89NY,AXB,Maxson Airfield,Alexandria Bay,44.31672,-75.89967
4209,8XS8,REE,Reese Airpark,Lubbock,33.59476,-102.04342
4566,AGAF,AFT,Afutara Aerodrome,Bila,-9.19139,160.94861
4567,AGAR,RNA,Ulawa Airport,Arona,-9.86054,161.97955
4568,AGAT,ATD,Uru Harbour Airport,Atoifi,-8.87333,161.011
4569,AGBA,VEV,Barakoma Airport,Barakoma,-7.91278,156.70599
4570,AGBT,BPF,Batuna Aerodrome,Batuna Mission Station,-8.56203,158.11931
4571,AGEV,GEF,Geva Airport,Liangia,-7.57583,156.597
4572,AGGA,AKS,Auki Airport,Auki,-8.70257,160.68201
4573,AGGB,BNY,Bellona/Anua Airport,Anua,-11.30222,159.79833
4574,AGGC,CHY,Choiseul Bay Airport,,-6.71194,156.39611
4575,AGGE,BAS,Ballalae Airport,Ballalae,-6.99075,155.88666
4576,AGGF,FRE,Fera/Maringe Airport,Fera Island,-8.1075,159.577
4577,AGGH,HIR,Honiara International Airport,Honiara,-9.428,160.05499
4578,AGGI,MBU,Babanakira Airport,Mbambanakira,-9.7475,159.839
4579,AGGJ,AVU,Avu Avu Airport,,-9.86833,160.41056
4580,AGGK,IRA,Ngorangora Airport,Kirakira,-10.4497,161.89799
4581,AGGL,SCZ,Santa Cruz/Graciosa Bay/Luova Airport,Santa Cruz/Graciosa Bay/Luova,-10.7203,165.795
4582,AGGM,MUA,Munda Airport,,-8.32797,157.263
4583,AGGN,GZO,Nusatupe Airport,Gizo,-8.09778,156.864
4584,AGGO,MNY,Mono Airport,Stirling Island,-7.41694,155.565
4585,AGGP,PRS,Parasi Airport,Parasi,-9.64167,161.425
4586,AGGR,RNL,Rennell/Tingoa Airport,Rennell Island,-11.5339,160.063
4587,AGGS,EGM,Sege Airport,Sege,-8.57889,157.87601
4588,AGGT,NNB,Santa Ana Airport,Santa Ana Island,-10.84799,162.45411
4589,AGGU,RUS,Marau Airport,Marau,-9.86167,160.825
4590,AGGV,VAO,Suavanao Airport,Suavanao,-7.58556,158.731
4591,AGGY,XYA,Yandina Airport,Yandina,-9.09282,159.21841
4592,AGKG,KGE,Kagau Island Airport,Kagau Island,-7.333,157.58299
4593,AGKW,KWS,Kwailabesi Airport,Kwailabesi,-8.36051,160.77513
4594,AGOK,GTA,Gatokae Airport,Gatokae,-8.73917,158.20306
4595,AGRC,RIN,Ringi Cove Airport,Ringi Cove,-8.12639,157.14301
4596,AGRM,RBV,Ramata Airport,Ramata,-8.16806,157.64301
4607,AK13,CEX,Chena Hot Springs Airport,Chena Hot Springs,65.05183,-146.04743
4617,AK26,SOL,Solomon State Field,Solomon,64.56064,-164.44233
4623,AK33,HED,Herendeen Bay Airport,Herendeen Bay,55.80139,-160.89925
4632,AK49,TWE,Taylor Airport,Taylor,65.67928,-164.79881
4649,AK71,LNI,Lonely Air Station,Lonely,70.91075,-153.24221
4653,AK75,CDL,Candle 2 Airport,Candle,65.90766,-161.92631
4668,AK97,BSW,Boswell Bay Airport,Boswell Bay,60.42306,-146.14591
4712,ANYN,INU,Nauru International Airport,Yaren District,-0.54746,166.91901
4733,AYAI,ATP,Aitape Airport,Aitape,-3.14361,142.34681
4734,AYAM,AMU,Amanab Airport,Amanab,-3.586,141.21433
4735,AYAN,ADC,Andakombe Airport,Andekombe,-7.13722,145.74472
4736,AYAO,AIE,Aiome Airport,Aiome,-5.1457,144.7307
4737,AYAQ,KPM,Kompiam Airport,,-5.38167,143.92472
4738,AYAT,AUJ,Ambunti Airport,Ambunti,-4.21567,142.82317
4739,AYAW,AWB,Awaba Airport,Awaba,-8.00611,142.74835
4740,AYAY,AYU,Aiyura Airport,Aiyura Valley,-6.33806,145.90417
4741,AYBA,VMU,Baimuru Airport,Baimuru,-7.49686,144.8199
4742,AYBG,BDZ,Baindoung Airport,,-6.34722,146.94222
4743,AYBK,BUA,Buka Airport,Buka Island,-5.42232,154.673
4744,AYBM,OPU,Balimo Airport,Balimo,-8.05,142.933
4745,AYBU,BUL,Bulolo Airport,Bulolo,-7.21629,146.64954
4747,AYCH,CMU,Chimbu Airport,Kundiawa,-6.02429,144.97099
4748,AYDE,DER,Derim Airport,Derim,-6.14472,147.10722
4750,AYDU,DAU,Daru Airport,Daru,-9.08676,143.20799
4751,AYED,XYR,Edwaki Airport,Yellow River Mission,-3.88399,141.79223
4752,AYFA,FNE,Fane Airport,Fane Mission,-8.54928,147.08583
4753,AYFI,FIN,Finschhafen Airport,Buki,-6.62175,147.85405
4754,AYFR,FAQ,Frieda River Airport,Frieda River,-4.61047,141.96014
4755,AYGA,GKA,Goroka Airport,Goronka,-6.08169,145.392
4757,AYGG,GRL,Garasa Airport,Au,-7.98071,147.21346
4758,AYGI,GAR,Garaina Airport,Garaina,-7.87563,147.14127
4759,AYGN,GUR,Gurney Airport,Gurney,-10.3115,150.334
4760,AYGP,GAP,Gusap Airport,Gusap,-6.0532,145.95905
4761,AYGR,PNP,Girua Airport,Popondetta,-8.80454,148.30901
4762,AYGT,GMI,Gasmata Island Airport,Gasmata Island,-6.27111,150.33099
4763,AYGV,GVI,Green River Airport,Green River,-3.90224,141.17052
4766,AYHK,HKN,Kimbe Airport,Hoskins,-5.46217,150.405
4767,AYIQ,KIE,Aropa Airport,Kieta,-6.305,155.72778
4768,AYKA,LSA,Losuia Airport,Losuia,-8.50582,151.08099
4769,AYKB,KBM,Kabwum,,-6.15547,147.19147
4770,AYKC,KDR,Kandrian Airport,Kandrian,-6.2659,149.5581
4771,AYKI,UNG,Kiunga Airport,Kiunga,-6.12571,141.282
4772,AYKK,KRI,Kikori Airport,Kikori,-7.42438,144.25008
4773,AYKM,KMA,Kerema Airport,Kerema,-7.96361,145.771
4774,AYKO,KKD,Kokoda Airport,Kokoda,-8.88468,147.73096
4775,AYKT,KZF,Kaintiba Airport,Kaintiba,-7.50025,146.03383
4776,AYKU,KUQ,Kuri Airport,Kuri,-7.13508,143.27611
4777,AYKV,KVG,Kavieng Airport,Kavieng,-2.5794,150.808
4778,AYKW,KWO,Kawito Airport,Kawito,-7.97701,142.82358
4779,AYKY,LNV,Londolovit Airport,Londolovit,-3.04361,152.629
4780,AYLM,LMY,Lake Murray Airport,Lake Murray,-7.00992,141.494
4781,AYLO,LWI,Lowai Airstrip,Lowai,-6.3344,146.6458
4782,AYLU,LMI,Lumi Airport,Lumi,-3.47684,142.04129
4783,AYMC,MYX,Menyamya Airport,Menyamya,-7.21167,146.01936
4784,AYMD,MAG,Madang Airport,Madang,-5.20708,145.789
4785,AYMH,HGU,Mount Hagen Kagamuga Airport,Mount Hagen,-5.82679,144.29601
4786,AYMI,MXK,Mindik Airport,Mindik,-6.47167,147.44114
4788,AYML,GUV,Mougulu Airport,Mougulu,-6.28086,142.42077
4789,AYMN,MDU,Mendi Airport,,-6.14774,143.657
4790,AYMO,MAS,Momote Airport,,-2.06189,147.424
4791,AYMR,MXH,Moro Airport,Moro,-6.36333,143.23801
4792,AYMS,MIS,Misima Island Airport,Misima Island,-10.6892,152.838
4793,AYNE,GBF,Negarbo(Negabo) Airport,Negarbo,-6.56778,144.70306
4794,AYNG,MFO,Manguna Airport,Manguna,-5.57778,151.79233
4795,AYNU,UKU,Nuku Airport,Nuku,-3.67665,142.48433
4796,AYNZ,LAE,Lae Nadzab Airport,Nadzab,-6.56983,146.726
4797,AYOG,OGE,Ogeranang Airport,,-6.46675,147.36417
4798,AYOM,OSE,Omora Airport,Omora,-7.82778,147.08064
4799,AYPD,PDI,Pindiu Airport,Pindiu,-6.44514,147.51583
4802,AYPY,POM,Port Moresby Jacksons International Airport,Port Moresby,-9.44338,147.22
4803,AYQA,KRJ,Karawari Airstrip,,-4.59667,143.5225
4804,AYRG,RMN,Rumginae Airport,,-5.89722,141.27167
4805,AYRI,KMR,Karimui Airport,Karimui,-6.4921,144.823
4806,AYSA,SBE,Suabi Airport,,-6.10444,142.27833
4807,AYSE,NIS,Simberi Airport,Simberi Island,-2.66222,151.99778
4808,AYSG,SIL,Sila Airport,Sila Mission,-9.07356,148.38925
4809,AYSJ,SIM,Simbai Airport,Simbai,-5.27861,144.54472
4811,AYSU,SKC,Suki Airport,Suki,-8.0466,141.7222
4812,AYTA,TIZ,Tari Airport,Tari,-5.845,142.948
4813,AYTB,TBG,Tabubil Airport,Tabubil,-5.27861,141.226
4814,AYTE,TFM,Telefomin Airport,Telefomin,-5.12608,141.64192
4815,AYTI,TPI,Tapini Airport,Tapini,-8.35667,146.98917
4816,AYTJ,TAJ,Tadji Airport,Aitape,-3.19819,142.43096
4817,AYTK,RAB,Tokua Airport,Tokua,-4.34046,152.38
4818,AYTN,TKW,Tekin Airport,Tekin,-5.24367,142.16519
4819,AYTU,TFI,Tufi Airport,Tufi,-9.07595,149.31984
4820,AYVN,VAI,Vanimo Airport,,-2.69717,141.302
4821,AYWB,WAO,Wabo Airport,Wabo,-6.98944,145.07511
4822,AYWD,WBM,Wapenamanda Airport,,-5.6433,143.895
4823,AYWG,AGL,Wanigela Airport,,-9.3375,149.15556
4824,AYWK,WWK,Wewak International Airport,Wewak,-3.58383,143.66901
4825,AYWO,WOA,Wonenara Airport,Wonenara,-6.79686,145.89194
4826,AYWS,WSU,Wasu Airport,Wasu,-5.96171,147.19823
4827,AYWT,WTP,Woitape Airport,Fatima Mission,-8.54583,147.2525
4828,AYWU,WUG,Wau Airport,Wau,-7.34556,146.71861
4866,BGAA,JEG,Aasiaat Airport,Aasiaat,68.7218,-52.7847
4867,BGBW,UAK,Narsarsuaq Airport,Narsarsuaq,61.1605,-45.426
4868,BGCO,CNP,Neerlerit Inaat Airport,Neerlerit Inaat,70.7431,-22.6505
4870,BGGH,GOH,Godthaab / Nuuk Airport,Nuuk,64.1909,-51.6781
4871,BGJN,JAV,Ilulissat Airport,Ilulissat,69.2432,-51.0571
4872,BGKK,KUS,Kulusuk Airport,Kulusuk,65.5736,-37.1236
4874,BGMQ,JSU,Maniitsoq Airport,Maniitsoq,65.4125,-52.9394
4876,BGPT,JFR,Paamiut Airport,Paamiut,62.01474,-49.67094
4877,BGQQ,NAQ,Qaanaaq Airport,Qaanaaq,77.4886,-69.3887
4878,BGSF,SFJ,Kangerlussuaq Airport,Kangerlussuaq,67.01222,-50.7116
4880,BGSS,JHS,Sisimiut Airport,Sisimiut,66.9513,-53.7293
4881,BGTL,THU,Thule Air Base,Thule,76.5312,-68.7032
4882,BGUK,JUV,Upernavik Airport,Upernavik,72.7902,-56.1306
4883,BGUQ,JQA,Qaarsut Airport,Uummannaq,70.7342,-52.6962
4886,BIAR,AEY,Akureyri Airport,Akureyri,65.66,-18.0727
4888,BIBD,BIU,Bildudalur Airport,Bildudalur,65.6413,-23.5462
4889,BIBF,BGJ,Borgarfjordur eystri Airport,Borgarfjordur eystri,65.5164,-13.805
4891,BIBK,BJD,Bakkafjordur Airport,Bakkafjordur,66.0219,-14.8244
4892,BIBL,BLO,Hjaltabakki Airport,Blonduos,65.645,-20.2875
4894,BIBV,BXV,Breiddalsvik Airport,Breiddalsvik,64.79,-14.0228
4896,BIDV,DJU,Djupivogur Airport,Djupivogur,64.6442,-14.2828
4897,BIEG,EGS,Egilsstadir Airport,Egilsstadir,65.2833,-14.4014
4899,BIFF,FAS,Faskrudsfjordur Airport,Faskrudsfjordur,64.9317,-14.0606
4901,BIFM,FAG,Fagurholsmyri Airport,Fagurholsmyri,63.8747,-16.6411
4904,BIGF,GUU,Grundarfjordur Airport,Grundarfjordur,64.9914,-23.2247
4906,BIGJ,GJR,Gjogur Airport,Gjogur,65.9953,-21.3269
4907,BIGR,GRY,Grimsey Airport,Grimsey,66.5458,-18.0173
4911,BIHK,HVK,Holmavik Airport,Holmavik,65.7047,-21.6964
4913,BIHN,HFN,Hornafjordur Airport,Hornafjordur,64.2956,-15.2272
4916,BIHT,FLI,Holt Airport,Flateyri,66.01418,-23.44169
4917,BIHU,HZK,Husavik Airport,Husavik,65.9523,-17.426
4921,BIIS,IFJ,Isafjordur Airport,Isafjordur,66.0581,-23.1353
4924,BIKF,KEF,Keflavik International Airport,Reykjavik,63.985,-22.6056
4927,BIKP,OPA,Kopasker Airport,Kopasker,66.3108,-16.4667
4928,BIKR,SAK,Saudarkrokur Airport,Saudarkrokur,65.7317,-19.5728
4934,BINF,NOR,Nordfjordur Airport,Nordfjordur,65.1319,-13.7464
4935,BIOF,OFJ,Olafsfjordur Airport,Olafsfjordur,66.0833,-18.6667
4936,BIPA,PFJ,Patreksfjordur Airport,Patreksfjordur,65.5558,-23.965
4937,BIRE,RHA,Reykholar Airport,Reykholar,65.45263,-22.20612
4938,BIRF,OLI,Rif Airport,Rif,64.9114,-23.8231
4939,BIRG,RFN,Raufarhofn Airport,Raufarhofn,66.4064,-15.9183
4940,BIRK,RKV,Reykjavik Airport,Reykjavik,64.13,-21.9406
4941,BIRL,MVA,Reykjahlid Airport,Myvatn,65.6558,-16.9181
4947,BISI,SIJ,Siglufjordur Airport,Siglufjordur,66.1333,-18.9167
4953,BIST,SYK,Stykkisholmur Airport,Stykkisholmur,65.0581,-22.7942
4955,BITE,TEY,Tingeyri Airport,Tingeyri,65.8703,-23.56
4957,BITN,THO,Thorshofn Airport,Thorshofn,66.2185,-15.3356
4962,BIVM,VEY,Vestmannaeyjar Airport,Vestmannaeyjar,63.4243,-20.2789
4963,BIVO,VPN,Vopnafjordur Airport,Vopnafjordur,65.7206,-14.8506
4964,BKPR,PRN,Pristina International Airport,Lipjan,42.57283,21.03583
4979,CA35,SRF,San Rafael Airport,San Rafael,38.01687,-122.52081
4999,CA92,PYS,Paradise Skypark Airport,Paradise,39.71056,-121.6165
5003,CAD4,YZZ,Trail Airport,Trail,49.0556,-117.609
5004,CAD5,YMB,Merritt Airport,Merritt,50.1228,-120.747
5009,CAH3,YCA,Courtenay Airpark,Courtenay,49.6794,-124.982
5012,CAJ3,CFQ,Art Sutcliffe Field,Creston,49.0369,-116.498
5013,CAJ4,YAA,Anahim Lake Airport,Anahim Lake,52.4525,-125.303
5017,CAL3,DGF,Douglas Lake Airport,Douglas Lake,50.16546,-120.17127
5018,CAL4,JHL,Fort MacKay/Albian Aerodrome,Albian Village,57.2239,-111.419
5019,CAM3,DUQ,Duncan Airport,Duncan,48.75453,-123.7097
5022,CAP3,YHS,Sechelt-Gibsons Airport,Sechelt-Gibsons,49.4606,-123.719
5028,CAS2,YAD,Moose Lake (Lodge) Airport,Moose Lake,53.0733,-125.409
5031,CAT4,XQU,Qualicum Beach Airport,Qualicum Beach,49.3372,-124.394
5048,CBBC,ZEL,Bella Bella (Campbell Island) Airport,Bella Bella,52.185,-128.157
5063,CBM5,YTX,Telegraph Creek Airport,Telegraph Creek,57.9167,-131.117
5073,CBS8,YPB,Port Alberni Airport,Port Alberni,49.3219,-124.931
5079,CBW4,YBO,Bob Quinn Lake Airport,Bob Quinn Lake,56.9667,-130.25
5086,CCA6,YWM,Williams Harbour Airport,Williams Harbour,52.5669,-55.7847
5091,CCD4,YSO,Postville Airport,Postville,54.9106,-59.7867
5094,CCE4,YBI,Black Tickle Airport,Black Tickle,53.4694,-55.785
5101,CCH4,YHG,Charlottetown Airport,Charlottetown,52.765,-56.1156
5105,CCK4,YFX,St. Lewis (Fox Harbour) Airport,St. Lewis,52.3728,-55.6739
5114,CCP4,YHA,Port Hope Simpson Airport,Port Hope Simpson,52.5281,-56.2861
5129,CCZ2,YRG,Rigolet Airport,Rigolet,54.1797,-58.4575
5162,CDK2,DVK,Diavik Airport,Diavik,64.5114,-110.289
5174,CEB3,YCK,Colville Lake Airport,Colville Lake,67.0333,-126.083
5175,CEB5,ZFW,Fairview Airport,Fairview,56.0814,-118.435
5177,CEC4,YJP,Hinton / Jasper-Hinton Airport,Hinton,53.3192,-117.753
5210,CEM3,YLE,Whati Airport,Whati,63.1317,-117.246
5224,CEQ5,YGC,Grande Cache Airport,Grande Cache,53.9169,-118.874
5226,CER3,YDC,Drayton Valley Industrial Airport,Drayton Valley,53.2658,-114.96
5227,CER4,NML,Fort McMurray / Mildred Lake Airport,Fort McMurray,57.0556,-111.574
5257,CFC4,XMP,Macmillan Pass Airport,Macmillan Pass,63.1811,-130.202
5265,CFF4,DAS,Great Bear Lake Airport,Great Bear Lake,66.7031,-119.707
5270,CFG6,YFI,Fort Mackay / Firebag,Suncor Energy Site,57.27583,-110.97667
5281,CFM4,YOE,Donnelly Airport,Donnelly,55.7094,-117.094
5388,CJL2,YDJ,Hatchet Lake Airport,Hatchet Lake,58.6625,-103.538
5392,CJL8,YDU,Kasba Lake Airport,Kasba Lake,60.2919,-102.502
5420,CJS3,XCL,Cluff Lake Airport,Cluff Lake,58.3911,-109.516
5425,CJT3,YKE,Knee Lake Airport,Knee Lake,54.9153,-94.7981
5438,CJV7,SUR,Summer Beaver Airport,Summer Beaver,52.7086,-88.5419
5448,CJY3,YTT,Tisdale Airport,Tisdale,52.8367,-104.067
5458,CKB6,YAX,Wapekeka Airport,Angling Lake,53.8492,-89.5794
5494,CKL3,WNN,Wunnumin Lake Airport,Wunnumin Lake,52.8939,-89.2892
5506,CKQ3,YNO,North Spirit Lake Airport,North Spirit Lake,52.49,-92.9711
5529,CKV4,YDW,North of Sixty Airport,Obre Lake,60.3164,-103.129
5604,CNE3,XBE,Bearskin Lake Airport,Bearskin Lake,53.9656,-91.0272
5611,CNH2,YNP,Natuashish Airport,Natuashish,55.9139,-61.1844
5614,CNK4,YPD,Parry Sound Area Municipal Airport,Parry Sound,45.2575,-79.8297
5616,CNL3,XBR,Brockville - Thousand Islands Regional Tackaberry Airport,Brockville,44.6394,-75.7503
5622,CNM5,KIF,Kingfisher Lake Airport,Kingfisher Lake,53.0125,-89.8553
5635,CNS7,YKD,Kincardine Airport,Kincardine,44.2014,-81.6067
5637,CNT3,YOG,Ogoki Post Airport,Ogoki Post,51.6586,-85.9017
5725,CPF2,YEB,Bar River Airport,Bar River,46.4203,-84.0922
5765,CPV7,YHP,Poplar Hill Airport,Poplar Hill,52.1133,-94.2556
5766,CPV8,KEW,Keewaywin Airport,Keewaywin,52.9911,-92.8364
5789,CSB2,YSA,Sable Island Landing Strip,Sable Island,43.93035,-59.95977
5805,CSH4,YLS,Lebel-sur-Quevillon Airport,Lebel-sur-Quevillon,49.0303,-77.0172
5813,CSK6,YNX,Snap Lake Airport,Snap Lake,63.5936,-110.906
5836,CSU2,YKU,Chisasibi Airport,Chisasibi,53.8056,-78.9169
5874,CTB6,ZTB,Tete-a-la-Baleine Airport,Tete-a-la-Baleine,50.6744,-59.3836
5882,CTK6,ZKG,Kegaska Airport,Kegaska,50.1958,-61.2658
5885,CTP9,YAU,Donaldson Airport,Kattiniq,61.6622,-73.3214
5890,CTU2,YFG,Fontanges Airport,Fontanges,54.5539,-71.1733
5891,CTU5,ZLT,La Tabatiere Airport,La Tabatiere,50.8308,-58.9756
5900,CYAB,YAB,Arctic Bay Airport,,73.00577,-85.04251
5901,CYAC,YAC,Cat Lake Airport,Cat Lake,51.7272,-91.8244
5902,CYAD,YAR,La Grande-3 Airport,La Grande-3,53.5717,-76.1964
5903,CYAG,YAG,Fort Frances Municipal Airport,Fort Frances,48.6542,-93.4397
5904,CYAH,YAH,La Grande-4 Airport,La Grande-4,53.7547,-73.6753
5905,CYAL,YAL,Alert Bay Airport,Alert Bay,50.5822,-126.916
5906,CYAM,YAM,Sault Ste Marie Airport,Sault Sainte Marie,46.485,-84.5094
5907,CYAQ,XKS,Kasabonika Airport,Kasabonika,53.5247,-88.6428
5908,CYAS,YKG,Kangirsuk Airport,Kangirsuk,60.0272,-69.9992
5909,CYAT,YAT,Attawapiskat Airport,Attawapiskat,52.9275,-82.4319
5914,CYAY,YAY,St. Anthony Airport,St. Anthony,51.3919,-56.0831
5915,CYAZ,YAZ,Tofino / Long Beach Airport,Tofino,49.07983,-125.7756
5916,CYBA,YBA,Banff Airport,Banff,51.20734,-115.54186
5917,CYBB,YBB,Kugaaruk Airport,Kugaaruk,68.5344,-89.8081
5918,CYBC,YBC,Baie Comeau Airport,Baie-Comeau,49.1325,-68.2044
5919,CYBD,QBC,Bella Coola Airport,Bella Coola,52.3875,-126.596
5920,CYBE,YBE,Uranium City Airport,Uranium City,59.5614,-108.481
5921,CYBF,YBY,Bonnyville Airport,Bonnyville,54.3042,-110.744
5922,CYBG,YBG,CFB Bagotville,Bagotville,48.3306,-70.9964
5923,CYBK,YBK,Baker Lake Airport,Baker Lake,64.2989,-96.0778
5924,CYBL,YBL,Campbell River Airport,Campbell River,49.9508,-125.271
5926,CYBQ,XTL,Tadoule Lake Airport,Tadoule Lake,58.7061,-98.5122
5927,CYBR,YBR,Brandon Municipal Airport,Brandon,49.91,-99.9519
5928,CYBT,YBT,Brochet Airport,Brochet,57.8894,-101.679
5930,CYBV,YBV,Berens River Airport,Berens River,52.3589,-97.0183
5932,CYBX,YBX,Lourdes de Blanc Sablon Airport,Lourdes-De-Blanc-Sablon,51.4436,-57.1853
5933,CYCA,YRF,Cartwright Airport,Cartwright,53.6828,-57.0419
5934,CYCB,YCB,Cambridge Bay Airport,Cambridge Bay,69.1081,-105.138
5935,CYCC,YCC,Cornwall Regional Airport,Cornwall,45.0928,-74.5633
5936,CYCD,YCD,Nanaimo Airport,Nanaimo,49.0523,-123.87
5937,CYCE,YCE,James T. Field Memorial Aerodrome,Centralia,43.2856,-81.5083
5938,CYCG,YCG,Castlegar Airport,Castlegar,49.2964,-117.632
5939,CYCH,YCH,Miramichi Airport,Miramichi,47.0078,-65.4492
5940,CYCK,XCM,Chatham Kent Airport,Chatham-Kent,42.3064,-82.0819
5941,CYCL,YCL,Charlo Airport,Charlo,47.9908,-66.3303
5942,CYCN,YCN,Cochrane Airport,Cochrane,49.1056,-81.0136
5943,CYCO,YCO,Kugluktuk Airport,Kugluktuk,67.8167,-115.144
5945,CYCQ,YCQ,Chetwynd Airport,Chetwynd,55.6872,-121.627
5946,CYCR,YCR,Cross Lake (Charlie Sinclair Memorial) Airport,Cross Lake,54.6106,-97.7608
5947,CYCS,YCS,Chesterfield Inlet Airport,Chesterfield Inlet,63.3469,-90.7311
5948,CYCT,YCT,Coronation Airport,Coronation,52.075,-111.445
5949,CYCW,YCW,Chilliwack Airport,Chilliwack,49.1528,-121.939
5950,CYCY,YCY,Clyde River Airport,Clyde River,70.4861,-68.5167
5951,CYCZ,YCZ,Fairmont Hot Springs Airport,Fairmont Hot Springs,50.3303,-115.873
5952,CYDA,YDA,Dawson City Airport,Dawson City,64.0431,-139.12801
5953,CYDB,YDB,Burwash Airport,Burwash,61.3711,-139.041
5955,CYDF,YDF,Deer Lake Airport,Deer Lake,49.2108,-57.3914
5956,CYDL,YDL,Dease Lake Airport,Dease Lake,58.4222,-130.032
5957,CYDM,XRR,Ross River Airport,Ross River,61.9706,-132.423
5958,CYDN,YDN,Dauphin Barker Airport,Dauphin,51.1008,-100.052
5959,CYDO,YDO,Dolbeau St Felicien Airport,Dolbeau-St-Felicien,48.7785,-72.375
5960,CYDP,YDP,Nain Airport,Nain,56.5492,-61.6803
5961,CYDQ,YDQ,Dawson Creek Airport,Dawson Creek,55.7423,-120.183
5964,CYEG,YEG,Edmonton International Airport,Edmonton,53.3097,-113.58
5965,CYEK,YEK,Arviat Airport,Arviat,61.0942,-94.0708
5966,CYEL,YEL,Elliot Lake Municipal Airport,Elliot Lake,46.3514,-82.5614
5967,CYEM,YEM,Manitoulin East Municipal Airport,Manitowaning,45.8428,-81.8581
5968,CYEN,YEN,Estevan Airport,Estevan,49.2103,-102.966
5969,CYER,YER,Fort Severn Airport,Fort Severn,56.0189,-87.6761
5971,CYET,YET,Edson Airport,Edson,53.5789,-116.465
5972,CYEU,YEU,Eureka Airport,Eureka,79.9947,-85.8142
5973,CYEV,YEV,Inuvik (Mike Zubko) Airport,Inuvik,68.3042,-133.483
5974,CYEY,YEY,Amos Magny Airport,Amos,48.5639,-78.2497
5975,CYFA,YFA,Fort Albany Airport,Fort Albany,52.2014,-81.6969
5976,CYFB,YFB,Iqaluit Airport,Iqaluit,63.7564,-68.5558
5977,CYFC,YFC,Fredericton International Airport,Fredericton,45.8689,-66.5372
5979,CYFE,YFE,Forestville Airport,Forestville,48.7461,-69.0972
5980,CYFH,YFH,Fort Hope Airport,Fort Hope,51.5619,-87.9078
5981,CYFJ,YTM,La Macaza / Mont-Tremblant International Inc Airport,Riviere Rouge,46.4094,-74.78
5982,CYFO,YFO,Flin Flon Airport,Flin Flon,54.6781,-101.682
5983,CYFR,YFR,Fort Resolution Airport,Fort Resolution,61.1808,-113.69
5984,CYFS,YFS,Fort Simpson Airport,Fort Simpson,61.7602,-121.237
5985,CYFT,YMN,Makkovik Airport,Makkovik,55.0769,-59.1864
5986,CYGB,YGB,Texada Gillies Bay Airport,Texada,49.6942,-124.518
5989,CYGH,YGH,Fort Good Hope Airport,Fort Good Hope,66.2408,-128.651
5990,CYGK,YGK,Kingston Airport,Kingston,44.2253,-76.5969
5991,CYGL,YGL,La Grande Riviere Airport,Radisson,53.6253,-77.7042
5992,CYGM,YGM,Gimli Industrial Park Airport,Gimli,50.6281,-97.0433
5993,CYGO,YGO,Gods Lake Narrows Airport,Gods Lake Narrows,54.5589,-94.4914
5994,CYGP,YGP,Gaspe (Michel-Pouliot) Airport,Gaspe,48.7753,-64.4786
5995,CYGQ,YGQ,Geraldton Greenstone Regional Airport,Geraldton,49.7783,-86.9394
5996,CYGR,YGR,Iles-de-la-Madeleine Airport,Iles-de-la-Madeleine,47.4247,-61.7781
5997,CYGT,YGT,Igloolik Airport,Igloolik,69.3647,-81.8161
5998,CYGV,YGV,Havre St Pierre Airport,Havre St-Pierre,50.2819,-63.6114
5999,CYGW,YGW,Kuujjuarapik Airport,Kuujjuarapik,55.2819,-77.7653
6000,CYGX,YGX,Gillam Airport,Gillam,56.3575,-94.7106
6001,CYGZ,YGZ,Grise Fiord Airport,Grise Fiord,76.4261,-82.9092
6002,CYHA,YQC,Quaqtaq Airport,Quaqtaq,61.0464,-69.6178
6003,CYHB,YHB,Hudson Bay Airport,Hudson Bay,52.8167,-102.311
6004,CYHC,CXH,Vancouver Harbour Airport,Vancouver,49.28333,-123.1
